A4,T3,41525.584047
A5,T4,95928.011774
A1,T8,76669.955675
A9,T7,55123.689146
A4,T2,2881.168384
A7,T9,75731.40358
A3,T5,92209.132413
A1,T6,43084.2429
A1,T10,47759.24852
A7,T14,50909.606631
A8,T11,58524.137404
A7,T16,60912.112152
A4,T12,33295.915103
A2,T19,92942.963104
A7,T13,71440.345292
A9,T21,757.427483
A7,T22,87595.497236
A4,T18,69290.418992
A8,T24,89205.156113
A2,T25,55805.896773
A2,T15,43931.597841
A5,T27,38689.252901
A1,T28,68274.764514
A5,T26,13011.476241
A9,T23,5763.653901
A4,T32,5172.536756
A7,T33,55599.30234
A3,T34,97520.396724
A5,T36,64297.487939
A2,T35,17319.740301
A2,T37,94826.582522
A7,T38,42420.556712
A2,T29,43443.6115
A1,T30,7173.369614
A10,T40,63830.387129
A8,T39,46678.276576
A5,T41,27241.052493
A4,T17,41812.173795
A5,T44,58908.521652
A2,T45,10517.939053
A9,T43,20818.649294
A9,T47,78540.836992
A2,T48,18759.601706
A10,T49,73436.201282
A9,T50,42892.736006
A1,T51,63971.265849
A1,T20,58829.163732
A1,T55,85474.320027
A9,T53,59566.787492
A10,T31,27290.138239
A2,T58,27484.76523
A4,T59,6994.146268
A3,T61,90812.883441
A2,T62,56788.575229
A5,T63,10073.023785
A8,T64,72425.416352
A7,T60,39410.95516
A7,T65,20456.131309
A4,T67,92636.608163
A6,T66,69698.995835
A6,T68,62627.929528
A6,T69,28329.370207
A1,T70,15985.275772
A1,T54,75880.097584
A5,T72,85438.138181
A2,T71,75555.389561
A10,T73,16125.766852
A10,T74,32969.596658
A5,T76,92965.404232
A8,T77,61288.207566
A1,T78,46433.650069
A2,T79,94879.586928
A7,T80,77930.424019
A4,T81,46167.698925
A4,T82,75569.434585
A10,T75,97306.119582
A3,T83,18679.706042
A4,T84,791.802605
A2,T86,77033.788501
A4,T85,86187.039168
A9,T87,85437.04457
A8,T88,90184.153587
A10,T89,30920.260823
A5,T91,68776.893426
A4,T90,45739.787303
A6,T92,41327.274869
A10,T93,38728.221033
A1,T94,7083.999845
A6,T95,26491.931523
A8,T97,18899.442963
A3,T96,76252.266041
A3,T98,89593.170985
A1,T99,79613.836742
A8,T56,92995.688515
A7,T100,21389.098348
A10,T101,8850.396899
A4,T102,33416.016418
A1,T103,12344.326619
A6,T104,93683.017885
A4,T106,1151.442743
A10,T105,60338.540833
A1,T107,25806.794747
A10,T110,65993.330012
A8,T109,57387.24957
A10,T112,68730.570065
A6,T113,19595.253996
A6,T114,58835.26912
A5,T115,10108.525667
A7,T116,56918.062528
A4,T117,12615.791836
A1,T118,13756.683034
A2,T119,83716.394732
A8,T120,62885.642046
A2,T108,21318.240581
A3,T122,43159.372169
A3,T123,62204.010348
A3,T124,70947.142049
A6,T125,7781.71431
A6,T57,11258.130988
A6,T111,73450.32424
A1,T126,55175.298769
A9,T128,20142.149009
A3,T129,88362.3736
A4,T130,82169.433235
A6,T131,36690.435865
A3,T127,798.790278
A7,T133,11353.676027
A3,T134,32218.790395
A8,T135,37837.665918
A6,T136,49275.399678
A3,T137,8747.540029
A7,T138,8010.720051
A4,T121,88053.205114
A1,T140,22684.412456
A2,T132,76067.979531
A10,T143,17047.30477
A8,T144,95688.823326
A2,T139,80438.358302
A5,T145,71560.618774
A10,T146,66119.228593
A6,T147,69231.600444
A8,T148,18926.416113
A10,T141,22705.739184
A8,T150,56698.253942
A5,T151,56230.304827
A8,T149,94786.512425
A6,T153,42555.379579
A9,T142,99952.924597
A4,T156,57376.638573
A7,T157,7448.102535
A5,T155,13679.024989
A6,T159,1252.821675
